metric,value
n_total,400
n_degraded,371
n_strong,29
base_pivot_acc_all,0.405
ft_pivot_acc_all,0.9925
base_pivot_acc_degraded,0.40970350404312667
ft_pivot_acc_degraded,0.9919137466307277
base_silent_mirage_degraded,0.5902964959568733
ft_silent_mirage_degraded,0.0026954177897574125
base_flag_degraded,0.0
ft_flag_degraded,0.954177897574124
base_false_alarm_strong,0.0
ft_false_alarm_strong,0.0
base_format,0.0
ft_format,1.0
ft_wrong_degraded_count,3
ft_flag_given_wrong,0.6666666666666666
