metric,balanced_value,imbalanced_value,delta_imb_minus_bal
n_total,400,400,0
n_degraded,371,371,0
n_strong,29,29,0
base_pivot_acc_all,0.405,0.405,0.0
ft_pivot_acc_all,0.9925,1.0,0.007499999999999951
base_pivot_acc_degraded,0.40970350404312667,0.40970350404312667,0.0
ft_pivot_acc_degraded,0.9919137466307277,1.0,0.008086253369272267
base_silent_mirage,0.5902964959568733,0.5902964959568733,0.0
ft_silent_mirage,0.0026954177897574125,0.0,-0.0026954177897574125
base_flag_degraded,0.0,0.0,0.0
ft_flag_degraded,0.954177897574124,1.0,0.04582210242587603
base_false_alarm,0.0,0.0,0.0
ft_false_alarm,0.0,0.0,0.0
base_format,0.0,0.0,0.0
ft_format,1.0,1.0,0.0
ft_wrong_degraded_n,3,0,-3
ft_flag_given_wrong,0.6666666666666666,,
