example_idx,category,difficulty,oracle_degraded,oracle_pivot,ft_pivot_balanced,ft_pivot_imbalanced,ft_correct_balanced,ft_correct_imbalanced,ft_flag_balanced,ft_flag_imbalanced,ft_silent_balanced,ft_silent_imbalanced
46,incident,medium,True,A142-E057,A142-E057,A142-E057,True,True,False,True,False,False
66,narrative,medium,True,C125-E050,C125-E058,C125-E050,False,True,True,True,False,False
80,investment,hard,True,B10-E060,B10-E067,B10-E060,False,True,True,True,False,False
91,incident,medium,True,A147-E058,A147-E058,A147-E058,True,True,False,True,False,False
94,investment,medium,True,B15-E060,B15-E056,B15-E060,False,True,False,True,True,False
104,narrative,hard,True,C244-E050,C244-E050,C244-E050,True,True,False,True,False,False
118,incident,hard,True,A202-E063,A202-E063,A202-E063,True,True,False,True,False,False
139,investment,hard,True,B86-E055,B86-E055,B86-E055,True,True,False,True,False,False
168,incident,medium,True,A143-E058,A143-E058,A143-E058,True,True,False,True,False,False
189,incident,hard,True,A286-E060,A286-E060,A286-E060,True,True,False,True,False,False
193,narrative,medium,True,C104-E054,C104-E054,C104-E054,True,True,False,True,False,False
200,incident,easy,True,A61-E066,A61-E066,A61-E066,True,True,False,True,False,False
217,incident,extreme,True,A348-E064,A348-E064,A348-E064,True,True,False,True,False,False
218,investment,hard,True,B18-E054,B18-E054,B18-E054,True,True,False,True,False,False
263,incident,extreme,True,A379-E060,A379-E060,A379-E060,True,True,False,True,False,False
313,incident,hard,True,A239-E064,A239-E064,A239-E064,True,True,False,True,False,False
333,investment,medium,True,B39-E061,B39-E061,B39-E061,True,True,False,True,False,False
359,incident,medium,True,A164-E058,A164-E058,A164-E058,True,True,False,True,False,False
363,narrative,easy,True,C65-E054,C65-E054,C65-E054,True,True,False,True,False,False
