model_name,model_id,task_id,category,compression_level,full_pivot,pivot_id_extracted,pivot_extracted_flag,pivot_preserved,fixed_pivot_feasible,raw_validity,raw_validity_full,raw_validity_compressed,semantic_regret,full_pivot_matches_ground_truth,pivot_matches_ground_truth,full_answer,compressed_answer
Gemma-2-9B-IT,google/gemma-2-9b-it,A01,incident,0.4,A01-E065,A01-E065,1,1,0,0.85,0.85,0.85,0.1357147769454341,1,1,"PIVOT_ID=A01-E065 

Prerequisite events:

* A01-E057
* A01-E058
* A01-E059
* A01-E060
* A01-E061
* A01-E062
* A01-E063
* A01-E064
* A01-E065","PIVOT_ID=A01-E065

Prerequisite Events:

* A01-E050
* A01-E053 
* A01-E047
* A01-E046
* A01-E045
* A01-E044
* A01-E042
* A01-E038
* A01-E037
* A01-E036
* A01-E032
* A01-E029
* A01-E026
* A01-E025
* A01-E023
* A01-E021
* A01-E020
* A01-E017
* A01-E016
* A01-E014"
Gemma-2-9B-IT,google/gemma-2-9b-it,A01,incident,0.5,A01-E065,A01-E065,1,1,0,0.85,0.85,0.85,0.10807061446026867,1,1,"PIVOT_ID=A01-E065 

Prerequisite events:

* A01-E057
* A01-E058
* A01-E059
* A01-E060
* A01-E061
* A01-E062
* A01-E063
* A01-E064
* A01-E065","PIVOT_ID=A01-E065

Prerequisite Events:

* A01-E058
* A01-E060
* A01-E062
* A01-E072 
* A01-E074
* A01-E076 
* A01-E077
* A01-E079
* A01-E080
* A01-E081
* A01-E084
* A01-E085"
Gemma-2-9B-IT,google/gemma-2-9b-it,A01,incident,0.6,A01-E065,A01-E065,1,1,0,0.85,0.85,0.85,0.12909048260696054,1,1,"PIVOT_ID=A01-E065 

Prerequisite events:

* A01-E057
* A01-E058
* A01-E059
* A01-E060
* A01-E061
* A01-E062
* A01-E063
* A01-E064
* A01-E065","PIVOT_ID=A01-E065 

Prerequisite Events:

* A01-E035 
* A01-E037
* A01-E043
* A01-E045
* A01-E047
* A01-E050
* A01-E056
* A01-E060
* A01-E069
* A01-E070
* A01-E072
* A01-E074
* A01-E076
* A01-E079
* A01-E081
* A01-E083
* A01-E084"
Gemma-2-9B-IT,google/gemma-2-9b-it,A02,incident,0.4,A02-E062,A02-E062,1,1,0,0.85,0.9999999999999999,0.85,0.3983773547332269,1,1,"PIVOT_ID=A02-E062 

Prerequisite events:

* A02-E052: 2026-05-04 10:39 | Service=ledger | Event=Config baseline update | Severity=1 | Scope=2 | Composite=2 
* A02-E053: 2026-05-05 11:46 | Service=cache | Event=Routine telemetry | Severity=5 | Scope=5 | Composite=25 
* A02-E054: 2026-05-06 12:53 | Service=queue | Event=Config baseline update | Severity=1 | Scope=2 | Composite=2 
* A02-E055: 2026-05-07 13:00 | Service=api-gateway | Event=Routine telemetry | Severity=4 | Scope=7 |","PIVOT_ID=A02-E062

Prerequisite Events: 
* A02-E061 
* A02-E066
* A02-E067
* A02-E068
* A02-E069
* A02-E070
* A02-E072 
* A02-E073
* A02-E074
* A02-E076
* A02-E077
* A02-E078
* A02-E079
* A02-E080
* A02-E082
* A02-E083
* A02-E084
* A02-E085
* A02-E086"
Gemma-2-9B-IT,google/gemma-2-9b-it,A02,incident,0.5,A02-E062,A02-E062,1,1,0,0.85,0.9999999999999999,0.85,0.3962073134199334,1,1,"PIVOT_ID=A02-E062 

Prerequisite events:

* A02-E052: 2026-05-04 10:39 | Service=ledger | Event=Config baseline update | Severity=1 | Scope=2 | Composite=2 
* A02-E053: 2026-05-05 11:46 | Service=cache | Event=Routine telemetry | Severity=5 | Scope=5 | Composite=25 
* A02-E054: 2026-05-06 12:53 | Service=queue | Event=Config baseline update | Severity=1 | Scope=2 | Composite=2 
* A02-E055: 2026-05-07 13:00 | Service=api-gateway | Event=Routine telemetry | Severity=4 | Scope=7 |","PIVOT_ID=A02-E062 

Prerequisite Events:
* A02-E052 
* A02-E045 
* A02-E041 
* A02-E033 
* A02-E039 
* A02-E030 
* A02-E028 
* A02-E025 
* A02-E021 
* A02-E018 
* A02-E017 
* A02-E016 
* A02-E014 
* A02-E013 
* A02-E011 
* A02-E010 
* A02-E009 
* A02-E008 
* A"
Gemma-2-9B-IT,google/gemma-2-9b-it,A02,incident,0.6,A02-E062,A02-E062,1,1,0,0.65,0.9999999999999999,0.65,0.4035149300203642,1,1,"PIVOT_ID=A02-E062 

Prerequisite events:

* A02-E052: 2026-05-04 10:39 | Service=ledger | Event=Config baseline update | Severity=1 | Scope=2 | Composite=2 
* A02-E053: 2026-05-05 11:46 | Service=cache | Event=Routine telemetry | Severity=5 | Scope=5 | Composite=25 
* A02-E054: 2026-05-06 12:53 | Service=queue | Event=Config baseline update | Severity=1 | Scope=2 | Composite=2 
* A02-E055: 2026-05-07 13:00 | Service=api-gateway | Event=Routine telemetry | Severity=4 | Scope=7 |","PIVOT_ID=A02-E062 

Prerequisite Events:

* A02-E057 
* A02-E059
* A02-E061"
Gemma-2-9B-IT,google/gemma-2-9b-it,A03,incident,0.4,A03-E058,A03-E058,1,1,0,0.65,0.85,0.65,0.15166223309052285,1,1,"PIVOT_ID=A03-E058 

Prerequisite events:

* A03-E056 
* A03-E057 
* A03-E055 
* A03-E054 
* A03-E053 
* A03-E052 
* A03-E051 
* A03-E050 
* A03-E049 
* A03-E048 
* A03-E047 
* A03-E046 
* A03-E045 
* A03-E044 
* A03-E043 
* A03-E042 
* A03-E041 
* A03-E040 
* A","PIVOT_ID=A03-E058 

Prerequisite Events:

* A03-E061 
* A03-E062
* A03-E063
* A03-E064
* A03-E065
* A03-E066
* A03-E067"
Gemma-2-9B-IT,google/gemma-2-9b-it,A03,incident,0.5,A03-E058,A03-E058,1,1,0,0.85,0.85,0.85,0.0835483866999438,1,1,"PIVOT_ID=A03-E058 

Prerequisite events:

* A03-E056 
* A03-E057 
* A03-E055 
* A03-E054 
* A03-E053 
* A03-E052 
* A03-E051 
* A03-E050 
* A03-E049 
* A03-E048 
* A03-E047 
* A03-E046 
* A03-E045 
* A03-E044 
* A03-E043 
* A03-E042 
* A03-E041 
* A03-E040 
* A","PIVOT_ID=A03-E058 

Prerequisite Events:
* A03-E067 
* A03-E061 
* A03-E063 
* A03-E065 
* A03-E062 
* A03-E051 
* A03-E046 
* A03-E045 
* A03-E041 
* A03-E040 
* A03-E033 
* A03-E029 
* A03-E028 
* A03-E025 
* A03-E021 
* A03-E018 
* A03-E016 
* A03-E014 
* A"
Gemma-2-9B-IT,google/gemma-2-9b-it,A03,incident,0.6,A03-E058,A03-E058,1,1,0,0.85,0.85,0.85,0.08566653116470979,1,1,"PIVOT_ID=A03-E058 

Prerequisite events:

* A03-E056 
* A03-E057 
* A03-E055 
* A03-E054 
* A03-E053 
* A03-E052 
* A03-E051 
* A03-E050 
* A03-E049 
* A03-E048 
* A03-E047 
* A03-E046 
* A03-E045 
* A03-E044 
* A03-E043 
* A03-E042 
* A03-E041 
* A03-E040 
* A","PIVOT_ID=A03-E058 

Prerequisite Events:

* A03-E031
* A03-E035
* A03-E037
* A03-E043
* A03-E045
* A03-E047
* A03-E057
* A03-E060
* A03-E061
* A03-E062
* A03-E063
* A03-E064
* A03-E065
* A03-E067
* A03-E073
* A03-E079
* A03-E081
* A03-E083
* A03-E084
* A03-E085"
Gemma-2-9B-IT,google/gemma-2-9b-it,A04,incident,0.4,A04-E063,A04-E063,1,1,0,0.85,0.9999999999999999,0.85,0.26419246858834133,1,1,"PIVOT_ID=A04-E063 

Prerequisite events:

* A04-E055:  Config baseline update 
* A04-E056: Routine telemetry
* A04-E057: Config baseline update
* A04-E058: Routine telemetry
* A04-E059: Config baseline update
* A04-E060: Routine telemetry
* A04-E061: Config baseline update
* A04-E062: Routine telemetry
* A04-E063: Cascade failure across service mesh 
* A04-E064: Routine telemetry
* A04-E065: Regional failover rehearsal
* A04-E066: Routine telemetry
* A04-E067: Regional failover rehearsal
* A04-E068: Routine telemetry
* A04","PIVOT_ID=A04-E063 

Prerequisite Events:

* A04-E065
* A04-E067
* A04-E068
* A04-E069 
* A04-E070
* A04-E071
* A04-E073
* A04-E074
* A04-E076
* A04-E077
* A04-E078
* A04-E079
* A04-E080
* A04-E082
* A04-E083
* A04-E084
* A04-E085
* A04-E086"
