model_name,model_id,task_id,category,compression_level,full_pivot,pivot_id_extracted,pivot_extracted_flag,pivot_preserved,fixed_pivot_feasible,raw_validity,raw_validity_full,raw_validity_compressed,semantic_regret,full_pivot_matches_ground_truth,pivot_matches_ground_truth,full_answer,compressed_answer
Mistral-7B-Instruct-v0.3,mistralai/Mistral-7B-Instruct-v0.3,A01,incident,0.4,A01-E065,A01-E065,1,1,0,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.23911763032564792,1,1,"PIVOT_ID=A01-E065

Prerequisite events that enabled it:
- A01-E057 (Control-plane adjustment)
- A01-E059 (Baseline calibration)
- A01-E060 (Routine telemetry)
- A01-E061 (Maintenance annotation)
- A01-E063 (Baseline calibration)
- A01-E064 (Routine telemetry)
- A01-E066 (Routine telemetry)
- A01-E068 (Routine telemetry)
- A01-E070 (Regional failover rehearsal)
- A01-E074 (Regional failover rehearsal)
- A01-E079 (Routine telemetry)
- A01-E081 (R","PIVOT_ID=A01-E065

Prerequisite events that enabled it:
- A01-E029
- A01-E037
- A01-E038
- A01-E042
- A01-E044
- A01-E045
- A01-E046
- A01-E047
- A01-E050
- A01-E053
- A01-E054
- A01-E055
- A01-E056
- A01-E060
- A01-E062
- A01-E065 (root cause)
- A01-E066
- A01-E067
- A01-E069"
Mistral-7B-Instruct-v0.3,mistralai/Mistral-7B-Instruct-v0.3,A01,incident,0.5,A01-E065,A01-E065,1,1,0,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.24236631413783605,1,1,"PIVOT_ID=A01-E065

Prerequisite events that enabled it:
- A01-E057 (Control-plane adjustment)
- A01-E059 (Baseline calibration)
- A01-E060 (Routine telemetry)
- A01-E061 (Maintenance annotation)
- A01-E063 (Baseline calibration)
- A01-E064 (Routine telemetry)
- A01-E066 (Routine telemetry)
- A01-E068 (Routine telemetry)
- A01-E070 (Regional failover rehearsal)
- A01-E074 (Regional failover rehearsal)
- A01-E079 (Routine telemetry)
- A01-E081 (R","PIVOT_ID=A01-E065

Prerequisite events that enabled it:
- A01-E008
- A01-E009
- A01-E010
- A01-E013
- A01-E014
- A01-E016
- A01-E017
- A01-E018
- A01-E021
- A01-E025
- A01-E028
- A01-E029
- A01-E030
- A01-E033
- A01-E039
- A01-E040
- A01-E041
- A01-E045
- A01-E046
- A01"
Mistral-7B-Instruct-v0.3,mistralai/Mistral-7B-Instruct-v0.3,A01,incident,0.6,A01-E065,A01-E065,1,1,0,0.85,0.9999999999999999,0.85,0.2419388447279769,1,1,"PIVOT_ID=A01-E065

Prerequisite events that enabled it:
- A01-E057 (Control-plane adjustment)
- A01-E059 (Baseline calibration)
- A01-E060 (Routine telemetry)
- A01-E061 (Maintenance annotation)
- A01-E063 (Baseline calibration)
- A01-E064 (Routine telemetry)
- A01-E066 (Routine telemetry)
- A01-E068 (Routine telemetry)
- A01-E070 (Regional failover rehearsal)
- A01-E074 (Regional failover rehearsal)
- A01-E079 (Routine telemetry)
- A01-E081 (R","PIVOT_ID=A01-E065

Prerequisite events that enabled it:
- A01-E035
- A01-E047
- A01-E056
- A01-E070
- A01-E072
- A01-E074
- A01-E076
- A01-E081
- A01-E083
- A01-E084
- A01-E085"
Mistral-7B-Instruct-v0.3,mistralai/Mistral-7B-Instruct-v0.3,A02,incident,0.4,A02-E062,A02-E062,1,1,0,0.85,0.85,0.85,0.09750402125770896,1,1,"PIVOT_ID=A02-E062

Prerequisite events that enabled it:
- A02-E054, A02-E055, A02-E056, A02-E057, A02-E058, A02-E059, A02-E060, A02-E061, A02-E064, A02-E065, A02-E067, A02-E069, A02-E071, A02-E074, A02-E076, A02-E079, A02-E082, A02-E084, A02-E086, A02-E087.","PIVOT_ID=A02-E062

Prerequisite events that enabled it:
- A02-E002, A02-E003, A02-E004, A02-E006, A02-E010, A02-E011, A02-E012, A02-E013, A02-E014, A02-E016, A02-E017, A02-E018, A02-E020, A02-E021, A02-E023, A02-E025, A02-E026, A02-E029, A02-E032, A02-E036, A02-E037, A02-"
Mistral-7B-Instruct-v0.3,mistralai/Mistral-7B-Instruct-v0.3,A02,incident,0.5,A02-E062,A02-E062,1,1,0,0.85,0.85,0.85,0.09750402125770896,1,1,"PIVOT_ID=A02-E062

Prerequisite events that enabled it:
- A02-E054, A02-E055, A02-E056, A02-E057, A02-E058, A02-E059, A02-E060, A02-E061, A02-E064, A02-E065, A02-E067, A02-E069, A02-E071, A02-E074, A02-E076, A02-E079, A02-E082, A02-E084, A02-E086, A02-E087.","PIVOT_ID=A02-E062

Prerequisite events that enabled it:
- A02-E001, A02-E002, A02-E008, A02-E009, A02-E010, A02-E011, A02-E013, A02-E014, A02-E016, A02-E017, A02-E018, A02-E021, A02-E025, A02-E028, A02-E029, A02-E030, A02-E033, A02-E039, A02-E040, A02-E041, A02-E045, A02-"
Mistral-7B-Instruct-v0.3,mistralai/Mistral-7B-Instruct-v0.3,A02,incident,0.6,A02-E062,A02-E062,1,1,0,0.65,0.85,0.65,0.08755734454342545,1,1,"PIVOT_ID=A02-E062

Prerequisite events that enabled it:
- A02-E054, A02-E055, A02-E056, A02-E057, A02-E058, A02-E059, A02-E060, A02-E061, A02-E064, A02-E065, A02-E067, A02-E069, A02-E071, A02-E074, A02-E076, A02-E079, A02-E082, A02-E084, A02-E086, A02-E087.","PIVOT_ID=A02-E062

Prerequisite events that enabled it:
- A02-E057, A02-E059, A02-E061, A02-E072, A02-E079, A02-E081, A02-E083, A02-E084, A02-E085"
Mistral-7B-Instruct-v0.3,mistralai/Mistral-7B-Instruct-v0.3,A03,incident,0.4,A03-E008,A03-E058,1,0,0,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.10368836145725657,0,1,"PIVOT_ID=A03-E008

Prerequisite events that enabled it:
- A03-E001
- A03-E002
- A03-E003
- A03-E004
- A03-E005
- A03-E006
- A03-E007
- A03-E009
- A03-E010
- A03-E011
- A03-E012
- A03-E013
- A03-E014
- A03-E015
- A03-E016
- A03-E017
- A03-E018
- A03-E019
- A03-E020
- A03","PIVOT_ID=A03-E058

Prerequisite events that enabled it:
- A03-E029
- A03-E032
- A03-E036
- A03-E037
- A03-E038
- A03-E042
- A03-E044
- A03-E045
- A03-E046
- A03-E047
- A03-E061
- A03-E062
- A03-E063
- A03-E064
- A03-E065
- A03-E066
- A03-E070
- A03-E071
- A03-E073
- A03"
Mistral-7B-Instruct-v0.3,mistralai/Mistral-7B-Instruct-v0.3,A03,incident,0.5,A03-E008,A03-E058,1,0,1,0.85,0.9999999999999999,0.85,0.07342828626650943,0,1,"PIVOT_ID=A03-E008

Prerequisite events that enabled it:
- A03-E001
- A03-E002
- A03-E003
- A03-E004
- A03-E005
- A03-E006
- A03-E007
- A03-E009
- A03-E010
- A03-E011
- A03-E012
- A03-E013
- A03-E014
- A03-E015
- A03-E016
- A03-E017
- A03-E018
- A03-E019
- A03-E020
- A03","PIVOT_ID=A03-E058

Prerequisite events that enabled it:
1. A03-E001
2. A03-E002
3. A03-E008
4. A03-E009
5. A03-E010
6. A03-E011
7. A03-E013
8. A03-E014
9. A03-E016
10. A03-E017
11. A03-E018
12. A03-E021
13. A03-E025
14. A03-E028
15. A03-E029
16. A03-E030
17. A03-E033"
Mistral-7B-Instruct-v0.3,mistralai/Mistral-7B-Instruct-v0.3,A03,incident,0.6,A03-E008,A03-E058,1,0,1,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.06486992034195094,0,1,"PIVOT_ID=A03-E008

Prerequisite events that enabled it:
- A03-E001
- A03-E002
- A03-E003
- A03-E004
- A03-E005
- A03-E006
- A03-E007
- A03-E009
- A03-E010
- A03-E011
- A03-E012
- A03-E013
- A03-E014
- A03-E015
- A03-E016
- A03-E017
- A03-E018
- A03-E019
- A03-E020
- A03","PIVOT_ID=A03-E058

Prerequisite events that enabled it:
- A03-E003
- A03-E004
- A03-E005
- A03-E007
- A03-E013
- A03-E014
- A03-E017
- A03-E020
- A03-E021
- A03-E025
- A03-E027
- A03-E031
- A03-E035
- A03-E037
- A03-E043
- A03-E045
- A03-E047
- A03-E057
- A03-E060
- A03"
Mistral-7B-Instruct-v0.3,mistralai/Mistral-7B-Instruct-v0.3,A04,incident,0.4,A04-E063,A04-E063,1,1,0,0.85,0.85,0.85,0.10882974491090502,1,1,"PIVOT_ID=A04-E063

Prerequisite events that enabled it:
1. A04-E055
2. A04-E057
3. A04-E059
4. A04-E060
5. A04-E061
6. A04-E064
7. A04-E067
8. A04-E068
9. A04-E069
10. A04-E071
11. A04-E074
12. A04-E077
13. A04-E079
14. A04-E081
15. A04-E083
16. A04-E085
17. A04-E087","PIVOT_ID=A04-E063

Prerequisite events that enabled it:
1. A04-E002
2. A04-E003
3. A04-E004
4. A04-E006
5. A04-E010
6. A04-E011
7. A04-E012
8. A04-E013
9. A04-E014
10. A04-E016
11. A04-E017
12. A04-E018
13. A04-E020
14. A04-E021
15. A04-E023
16. A04-E025
17. A04-E026"
