model_name,model_id,task_id,category,compression_level,full_pivot,pivot_id_extracted,pivot_extracted_flag,pivot_preserved,fixed_pivot_feasible,raw_validity,raw_validity_full,raw_validity_compressed,semantic_regret,full_pivot_matches_ground_truth,pivot_matches_ground_truth,full_answer,compressed_answer
Phi-3-Medium-14B-Instruct,microsoft/Phi-3-medium-128k-instruct,A01,incident,0.4,A01-E065,A01-E065,1,1,0,0.9999999999999999,0.9899999999999999,0.9999999999999999,0.21274344952851654,1,1,"PIVOT_ID=A01-E065

The root cause of the incident is the cascade failure across the service mesh, which occurred on 2026-05-11. The composite severity score for this event is 108 (Severity=9 * Scope=12).

Prerequisite events that enabled the cascade failure include:

1. PIVOT_ID=A01-E001: Routine telemetry from the auth service on 2026-05-01, with a composite score of 10 (Severity=5 * Scope=2).
2. PIVOT_ID=A01-E002: Routine telemetry from the ledger service on 2026-05-02, with a composite score of 15 (Severity=5 * Scope=3).
3. PIVOT_ID=A","PIVOT_ID=A01-E065

The root cause of the incident is the cascade failure across the service mesh, which occurred on 2026-05-11 at 17:28. This event had a composite score of 108, which is the highest composite score in the timeline.

Prerequisite events that enabled the cascade failure include:

1. A01-E002: Routine telemetry on 2026-05-02 at 09:07 (Composite=15)
2. A01-E003: Routine telemetry on 2026-05-03 at 10:14 (Composite=15)
3. A01-E004: Routine telemetry on 2026-05-04 at 11:21 (Compos"
Phi-3-Medium-14B-Instruct,microsoft/Phi-3-medium-128k-instruct,A01,incident,0.5,A01-E065,A01-E065,1,1,0,0.9999999999999999,0.9899999999999999,0.9999999999999999,0.25664149288660354,1,1,"PIVOT_ID=A01-E065

The root cause of the incident is the cascade failure across the service mesh, which occurred on 2026-05-11. The composite severity score for this event is 108 (Severity=9 * Scope=12).

Prerequisite events that enabled the cascade failure include:

1. PIVOT_ID=A01-E001: Routine telemetry from the auth service on 2026-05-01, with a composite score of 10 (Severity=5 * Scope=2).
2. PIVOT_ID=A01-E002: Routine telemetry from the ledger service on 2026-05-02, with a composite score of 15 (Severity=5 * Scope=3).
3. PIVOT_ID=A","PIVOT_ID=A01-E065

The root cause of the incident is the event with the highest composite severity score, which is calculated by multiplying the severity and scope of each event. In this case, the event with the highest composite score is A01-E065, with a score of 108 (Severity=9 * Scope=12).

Prerequisite events that enabled the root cause include:

1. A01-E001: This event had a composite score of 10 (Severity=5 * Scope=2), which is a structural breadcrumb that provides context for the incident.
2. A01-E002: This event had a composite score of 15 (Severity=5 * Scope=3), which is a low-salience event that contributes to the global score rule.
3. A01-E008: This event"
Phi-3-Medium-14B-Instruct,microsoft/Phi-3-medium-128k-instruct,A01,incident,0.6,A01-E065,A01-E065,1,1,0,0.9999999999999999,0.9899999999999999,0.9999999999999999,0.2969734209283814,1,1,"PIVOT_ID=A01-E065

The root cause of the incident is the cascade failure across the service mesh, which occurred on 2026-05-11. The composite severity score for this event is 108 (Severity=9 * Scope=12).

Prerequisite events that enabled the cascade failure include:

1. PIVOT_ID=A01-E001: Routine telemetry from the auth service on 2026-05-01, with a composite score of 10 (Severity=5 * Scope=2).
2. PIVOT_ID=A01-E002: Routine telemetry from the ledger service on 2026-05-02, with a composite score of 15 (Severity=5 * Scope=3).
3. PIVOT_ID=A","PIVOT_ID=A01-E065

The root cause of the incident is the event with the highest composite severity score, which is A01-E065. This event is a ""Cascade failure across service mesh"" with a severity of 9 and a scope of 12, resulting in a composite score of 108.

Prerequisite events that enabled the root cause include:

1. A01-E003: ""Routine telemetry"" with a severity of 3 and a scope of 5, resulting in a composite score of 15.
2. A01-E004: ""Routine telemetry"" with a severity of 2 and a scope of 2, resulting in a composite score of 4.
3. A01-E005: ""Routine telemetry"" with a severity of 5 and a scope of 7, resulting in a composite"
Phi-3-Medium-14B-Instruct,microsoft/Phi-3-medium-128k-instruct,A02,incident,0.4,A02-E062,A02-E062,1,1,0,0.9999999999999999,0.9899999999999999,0.9999999999999999,0.1721626553942448,1,1,"PIVOT_ID=A02-E062

The root cause of the incident is the event with the highest composite severity score, which is calculated by multiplying the severity and scope of each event. In this case, the event with the highest composite score is A02-E062, which has a severity of 9 and a scope of 12, resulting in a composite score of 108.

Prerequisite events that enabled the root cause include:

1. A02-E001: This event had a severity of 5 and a scope of 4, resulting in a composite score of 20. It preserved details that became causal prerequisites for later interpretation.
2. A02-E002: This event had a severity of 3 and a scope of 6, resulting in a composite score of 18. It referenced dependencies that only matter when read with the full timeline.
3. A","PIVOT_ID=A02-E062

The root cause of the incident is the event with the highest composite severity score, which is calculated by multiplying the severity and scope values. In this case, the event with the highest composite score is A02-E062, with a severity of 9 and a scope of 12, resulting in a composite score of 108.

Prerequisite events that enabled the root cause include:

1. A02-E036: Service=queue, Event=Routine telemetry, Severity=4, Scope=6, Composite=24
2. A02-E037: Service=ledger, Event=Routine telemetry, Severity=3, Scope=5, Composite=15
3. A02-E038: Service=cache, Event=Routine telemetry, Severity=4, Scope=2"
Phi-3-Medium-14B-Instruct,microsoft/Phi-3-medium-128k-instruct,A02,incident,0.5,A02-E062,A02-E062,1,1,0,0.9899999999999999,0.9899999999999999,0.9899999999999999,0.02991560587735087,1,1,"PIVOT_ID=A02-E062

The root cause of the incident is the event with the highest composite severity score, which is calculated by multiplying the severity and scope of each event. In this case, the event with the highest composite score is A02-E062, which has a severity of 9 and a scope of 12, resulting in a composite score of 108.

Prerequisite events that enabled the root cause include:

1. A02-E001: This event had a severity of 5 and a scope of 4, resulting in a composite score of 20. It preserved details that became causal prerequisites for later interpretation.
2. A02-E002: This event had a severity of 3 and a scope of 6, resulting in a composite score of 18. It referenced dependencies that only matter when read with the full timeline.
3. A","PIVOT_ID=A02-E062

The root cause of the incident is the event with the highest composite severity score, which is calculated by multiplying the severity and scope of each event. In this case, the event with the highest composite score is A02-E062, with a severity of 9 and a scope of 12, resulting in a composite score of 108.

Prerequisite events that enabled the root cause include:

1. A02-E001: This event had a severity of 5 and a scope of 4, resulting in a composite score of 20. It preserved details that became causal prerequisites for later interpretation.
2. A02-E002: This event had a severity of 3 and a scope of 6, resulting in a composite score of 18. It was processed as ordinary background activity in incident operations, and the note references dependencies that only matter"
Phi-3-Medium-14B-Instruct,microsoft/Phi-3-medium-128k-instruct,A02,incident,0.6,A02-E062,A02-E062,1,1,0,0.9899999999999999,0.9899999999999999,0.9899999999999999,0.32300668754981,1,1,"PIVOT_ID=A02-E062

The root cause of the incident is the event with the highest composite severity score, which is calculated by multiplying the severity and scope of each event. In this case, the event with the highest composite score is A02-E062, which has a severity of 9 and a scope of 12, resulting in a composite score of 108.

Prerequisite events that enabled the root cause include:

1. A02-E001: This event had a severity of 5 and a scope of 4, resulting in a composite score of 20. It preserved details that became causal prerequisites for later interpretation.
2. A02-E002: This event had a severity of 3 and a scope of 6, resulting in a composite score of 18. It referenced dependencies that only matter when read with the full timeline.
3. A","PIVOT_ID=A02-E062

The root cause of the incident is the event with the highest composite severity score, which is A02-E062: ""2026-05-14 09:49 | Service=api-gateway | Event=Regional failover rehearsal | Severity=2 | Scope=4 | Composite=8"".

Prerequisite events that enabled this root cause include:

1. A02-E003: ""2026-05-03 10:14 | Service=cache | Event=Routine telemetry | Severity=3 | Scope=3 | Composite=9""
2. A02-E004: ""2026-05-04 11:21 | Service=queue | Event=Routine telemetry | Severity=5 | Scope=7 | Compos"
Phi-3-Medium-14B-Instruct,microsoft/Phi-3-medium-128k-instruct,A03,incident,0.4,A03-E058,A03-E058,1,1,0,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.1053643061302626,1,1,"PIVOT_ID=A03-E058

The root cause of the incident is the event with the highest composite severity score, which is calculated by multiplying the severity and scope of each event. In this case, the event with the highest composite score is A03-E058, which has a severity of 9 and a scope of 12, resulting in a composite score of 108.

Prerequisite events that enabled the root cause include:

1. A03-E001: Service=auth, Event=Routine telemetry, Severity=4, Scope=3, Composite=12
2. A03-E002: Service=ledger, Event=Routine telemetry, Severity=4, Scope=6, Composite=24
3. A03-E003: Service=cache, Event=Routine telemetry, Severity=2, S","PIVOT_ID=A03-E058

The root cause of the incident is the event with the highest composite severity score, which is calculated by multiplying the severity and scope of each event. In this case, the event with the highest composite score is A03-E058, with a severity of 4 and a scope of 12, resulting in a composite score of 48.

Prerequisite events that enabled the root cause include:

1. A03-E002: Severity=4, Scope=6, Composite=24
2. A03-E003: Severity=2, Scope=4, Composite=8
3. A03-E004: Severity=5, Scope=3, Composite=15
4. A03-E006: Severity=5, Scope=7, Composite=35
5. A"
Phi-3-Medium-14B-Instruct,microsoft/Phi-3-medium-128k-instruct,A03,incident,0.5,A03-E058,A03-E067,1,0,0,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.11031769029081806,1,0,"PIVOT_ID=A03-E058

The root cause of the incident is the event with the highest composite severity score, which is calculated by multiplying the severity and scope of each event. In this case, the event with the highest composite score is A03-E058, which has a severity of 9 and a scope of 12, resulting in a composite score of 108.

Prerequisite events that enabled the root cause include:

1. A03-E001: Service=auth, Event=Routine telemetry, Severity=4, Scope=3, Composite=12
2. A03-E002: Service=ledger, Event=Routine telemetry, Severity=4, Scope=6, Composite=24
3. A03-E003: Service=cache, Event=Routine telemetry, Severity=2, S","PIVOT_ID=A03-E067

The root cause of the incident is the event with the highest composite severity score, which is calculated by multiplying the severity and scope of each event. In this case, the event with the highest composite score is A03-E067, with a severity of 10 and a scope of 8, resulting in a composite score of 80.

Prerequisite events that enabled this root cause include:

1. A03-E058: Cascade failure across service mesh (Severity=9, Scope=12, Composite=108)
2. A03-E061: Regional failover rehearsal (Severity=3, Scope=2, Composite=6)
3. A03-E062: Routine telemetry (Severity=3, Scope=4, Composite=12)
4"
Phi-3-Medium-14B-Instruct,microsoft/Phi-3-medium-128k-instruct,A03,incident,0.6,A03-E058,,0,0,0,0.44999999999999996,0.9999999999999999,0.44999999999999996,0.08845860769219005,1,0,"PIVOT_ID=A03-E058

The root cause of the incident is the event with the highest composite severity score, which is calculated by multiplying the severity and scope of each event. In this case, the event with the highest composite score is A03-E058, which has a severity of 9 and a scope of 12, resulting in a composite score of 108.

Prerequisite events that enabled the root cause include:

1. A03-E001: Service=auth, Event=Routine telemetry, Severity=4, Scope=3, Composite=12
2. A03-E002: Service=ledger, Event=Routine telemetry, Severity=4, Scope=6, Composite=24
3. A03-E003: Service=cache, Event=Routine telemetry, Severity=2, S","PIVOT_ID=E058

The root cause of the incident is the event with the highest composite severity score, which is calculated by multiplying the severity and scope of each event. In this case, the event with the highest composite score is E058, with a severity of 4 and a scope of 3, resulting in a composite score of 12.

Prerequisite events that enabled the root cause (E058) are:

1. E003: Service=cache, Event=Routine telemetry, Severity=2, Scope=4, Composite=8
2. E004: Service=queue, Event=Routine telemetry, Severity=5, Scope=3, Composite=15
3. E005: Service=api-gateway, Event=Routine telemetry, Severity=3, Scope=2, Composite=6
4. E007:"
Phi-3-Medium-14B-Instruct,microsoft/Phi-3-medium-128k-instruct,A04,incident,0.4,A04-E063,A04-E063,1,1,0,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.12474643484246051,1,1,"PIVOT_ID=A04-E063

The root cause of the incident is the event with the highest composite severity score, which is calculated by multiplying the severity and scope of each event. In this case, the event with the highest composite score is A04-E063, which has a severity of 9 and a scope of 12, resulting in a composite score of 108.

Prerequisite events that enabled the root cause include:

1. A04-E001: Routine telemetry in the auth service with a composite score of 4.
2. A04-E002: Routine telemetry in the ledger service with a composite score of 12.
3. A04-E003: Routine telemetry in the cache service with a composite score of 6.
4. A04-E004: Routine telemetry in the queue","PIVOT_ID=A04-E063

The root cause of the incident is the event with the highest composite severity score, which is calculated by multiplying the severity and scope of each event. In this case, the event with the highest composite score is A04-E063, with a severity of 5 and a scope of 12, resulting in a composite score of 60.

Prerequisite events that enabled the root cause include:

1. A04-E002: Service=ledger, Event=Routine telemetry, Severity=3, Scope=4, Composite=12
2. A04-E003: Service=cache, Event=Routine telemetry, Severity=3, Scope=2, Composite=6
3. A04-E004: Service=queue, Event=Routine telemetry, Severity=3, Scope=4"
