task_id,model_name,full_answer,compressed_answer,raw_validity,raw_validity_full,raw_validity_compressed,pivot_preserved,semantic_regret,compression_level,category,full_pivot,compressed_pivot,full_pivot_matches_ground_truth,pivot_matches_ground_truth,pivot_outcome,high_validity_flag,true_mirage_flag,rescue_flag,instability_flag,mirage_flag
A01,grok-4-1-fast,"PIVOT_ID=A01-E065  
Prerequisite events (low-salience setup enabling latent dependencies for service mesh cascade): A01-E057, A01-E059, A01-E061, A01-E063","PIVOT_ID=A01-E065  
Prerequisites: A01-E037 (prior ledger telemetry, explicitly causal prerequisite and structural breadcrumb with Composite=30; latent dependency noted in E065 description)",0.76,0.65,0.76,1,0.40857752348232435,0.4,incident,A01-E065,A01-E065,1,1,stable_correct,1,0,0,0,0
A01,grok-4-1-fast,"PIVOT_ID=A01-E065  
Prerequisite events (low-salience setup enabling latent dependencies for service mesh cascade): A01-E057, A01-E059, A01-E061, A01-E063","PIVOT_ID=A01-E065  
Prerequisite events: A01-E028, A01-E008, A01-E009, A01-E010",0.65,0.65,0.65,1,0.27660902596529136,0.5,incident,A01-E065,A01-E065,1,1,stable_correct,0,0,0,0,0
A01,grok-4-1-fast,"PIVOT_ID=A01-E065  
Prerequisite events (low-salience setup enabling latent dependencies for service mesh cascade): A01-E057, A01-E059, A01-E061, A01-E063","PIVOT_ID=A01-E065  
Prerequisite events: A01-E008, A01-E035, A01-E037",0.65,0.65,0.65,1,0.27917779644524876,0.6,incident,A01-E065,A01-E065,1,1,stable_correct,0,0,0,0,0
A02,grok-4-1-fast,"PIVOT_ID=A02-E062  
Prerequisite events: A02-E056, A02-E058, A02-E060 (prior config baseline updates explicitly preserving causal prerequisites and dependencies enabling cross-system coupling in the cascade failure).","PIVOT_ID=A02-E062  
Prerequisite events: A02-E084, A02-E086, A02-E006",0.65,0.85,0.65,1,0.315021017864589,0.4,incident,A02-E062,A02-E062,1,1,stable_correct,0,0,0,0,0
A02,grok-4-1-fast,"PIVOT_ID=A02-E062  
Prerequisite events: A02-E056, A02-E058, A02-E060 (prior config baseline updates explicitly preserving causal prerequisites and dependencies enabling cross-system coupling in the cascade failure).","PIVOT_ID=A02-E062  
Prerequisite events: A02-E001, A02-E028, A02-E084",0.65,0.85,0.65,1,0.315021017864589,0.5,incident,A02-E062,A02-E062,1,1,stable_correct,0,0,0,0,0
A02,grok-4-1-fast,"PIVOT_ID=A02-E062  
Prerequisite events: A02-E056, A02-E058, A02-E060 (prior config baseline updates explicitly preserving causal prerequisites and dependencies enabling cross-system coupling in the cascade failure).","PIVOT_ID=A02-E062
Prerequisite events: A02-E083, A02-E057, A02-E084, A02-E004, A02-E059, A02-E061",0.65,0.85,0.65,1,0.3172630081222977,0.6,incident,A02-E062,A02-E062,1,1,stable_correct,0,0,0,0,0
A03,grok-4-1-fast,"PIVOT_ID=A03-E058  
Root cause: Cascade failure across service mesh (ledger service, Composite=108).  
Prerequisite events: A03-E082 (api-gateway, Composite=30), A03-E083 (billing, Composite=30), A03-E084 (search, Composite=30). These low-salience routine telemetry setup events chronologically precede the root cause (05-01 to 05-03), feature high Scope=6 with Severity=5, reference dependencies and downstream shifts critical to synchronizing the service mesh failure per global timeline context.","PIVOT_ID=A03-E058  
Prerequisites (chronological order, all prior setup events enabling synchronization into cascade): A03-E082, A03-E055, A03-E002, A03-E083, A03-E029, A03-E057, A03-E003, A03-E084",0.85,0.9999999999999999,0.85,1,0.3969755116047342,0.4,incident,A03-E058,A03-E058,1,1,stable_correct,1,0,0,0,0
A03,grok-4-1-fast,"PIVOT_ID=A03-E058  
Root cause: Cascade failure across service mesh (ledger service, Composite=108).  
Prerequisite events: A03-E082 (api-gateway, Composite=30), A03-E083 (billing, Composite=30), A03-E084 (search, Composite=30). These low-salience routine telemetry setup events chronologically precede the root cause (05-01 to 05-03), feature high Scope=6 with Severity=5, reference dependencies and downstream shifts critical to synchronizing the service mesh failure per global timeline context.","PIVOT_ID=A03-E058
Prerequisite events: A03-E030",0.5599999999999999,0.9999999999999999,0.5599999999999999,1,0.39628071864515024,0.5,incident,A03-E058,A03-E058,1,1,stable_correct,0,0,0,0,0
A03,grok-4-1-fast,"PIVOT_ID=A03-E058  
Root cause: Cascade failure across service mesh (ledger service, Composite=108).  
Prerequisite events: A03-E082 (api-gateway, Composite=30), A03-E083 (billing, Composite=30), A03-E084 (search, Composite=30). These low-salience routine telemetry setup events chronologically precede the root cause (05-01 to 05-03), feature high Scope=6 with Severity=5, reference dependencies and downstream shifts critical to synchronizing the service mesh failure per global timeline context.","PIVOT_ID=A03-E058  
Root cause: Cascade failure across service mesh (Service=ledger, 2026-05-04 10:39, Severity=9, Scope=12, Composite=108).  
Prerequisite events (chronologically prior setup events in timeline): A03-E083, A03-E057, A03-E003, A03-E084.",0.85,0.9999999999999999,0.85,1,0.30707570612106205,0.6,incident,A03-E058,A03-E058,1,1,stable_correct,1,0,0,0,0
A04,grok-4-1-fast,"PIVOT_ID=A04-E063

**Root cause:** [A04-E063] 2026-05-09 15:14 | Service=search | Event=Cascade failure across service mesh | Severity=9 | Scope=12 | Composite=108 (global argmax composite severity score).

**Prerequisite events:** Low-salience setup events (config baseline updates) temporally prior to the root cause that enabled synchronization across subsystems: A04-E055, A04-E057, A04-E059, A04-E061.","PIVOT_ID=A04-E063
Prerequisite events: A04-E056, A04-E084, A04-E014",0.65,0.9999999999999999,0.65,1,0.34327802913113215,0.4,incident,A04-E063,A04-E063,1,1,stable_correct,0,0,0,0,0
