section,category,outcome,metric,value,count
full_context_accuracy_overall,ALL,,rate,1.0,36
full_context_accuracy_by_category,incident,,rate,1.0,12
full_context_accuracy_by_category,investment,,rate,1.0,12
full_context_accuracy_by_category,narrative,,rate,1.0,12
outcome_breakdown_overall,ALL,true_mirage,rate,0.0,0
outcome_breakdown_overall,ALL,rescue,rate,0.0,0
outcome_breakdown_overall,ALL,instability,rate,0.0,0
outcome_breakdown_overall,ALL,stable_correct,rate,1.0,36
outcome_breakdown_overall,ALL,stable_wrong,rate,0.0,0
outcome_breakdown_overall,ALL,unresolved,rate,0.0,0
outcome_breakdown_by_category,incident,true_mirage,rate,0.0,0
outcome_breakdown_by_category,incident,rescue,rate,0.0,0
outcome_breakdown_by_category,incident,instability,rate,0.0,0
outcome_breakdown_by_category,incident,stable_correct,rate,1.0,12
outcome_breakdown_by_category,incident,stable_wrong,rate,0.0,0
outcome_breakdown_by_category,incident,unresolved,rate,0.0,0
outcome_breakdown_by_category,investment,true_mirage,rate,0.0,0
outcome_breakdown_by_category,investment,rescue,rate,0.0,0
outcome_breakdown_by_category,investment,instability,rate,0.0,0
outcome_breakdown_by_category,investment,stable_correct,rate,1.0,12
outcome_breakdown_by_category,investment,stable_wrong,rate,0.0,0
outcome_breakdown_by_category,investment,unresolved,rate,0.0,0
outcome_breakdown_by_category,narrative,true_mirage,rate,0.0,0
outcome_breakdown_by_category,narrative,rescue,rate,0.0,0
outcome_breakdown_by_category,narrative,instability,rate,0.0,0
outcome_breakdown_by_category,narrative,stable_correct,rate,1.0,12
outcome_breakdown_by_category,narrative,stable_wrong,rate,0.0,0
outcome_breakdown_by_category,narrative,unresolved,rate,0.0,0
