section,category,outcome,metric,value,count,difficulty_level
full_context_accuracy_overall,ALL,,rate,0.3125,48,
full_context_accuracy_by_category,investment,,rate,0.3125,48,
outcome_breakdown_overall,ALL,true_mirage,rate,0.08333333333333333,4,
outcome_breakdown_overall,ALL,rescue,rate,0.25,12,
outcome_breakdown_overall,ALL,instability,rate,0.3125,15,
outcome_breakdown_overall,ALL,stable_correct,rate,0.22916666666666666,11,
outcome_breakdown_overall,ALL,stable_wrong,rate,0.125,6,
outcome_breakdown_overall,ALL,unresolved,rate,0.0,0,
outcome_breakdown_by_category,investment,true_mirage,rate,0.08333333333333333,4,
outcome_breakdown_by_category,investment,rescue,rate,0.25,12,
outcome_breakdown_by_category,investment,instability,rate,0.3125,15,
outcome_breakdown_by_category,investment,stable_correct,rate,0.22916666666666666,11,
outcome_breakdown_by_category,investment,stable_wrong,rate,0.125,6,
outcome_breakdown_by_category,investment,unresolved,rate,0.0,0,
full_context_accuracy_by_difficulty,investment,,rate,0.75,12,easy
outcome_breakdown_by_difficulty,investment,true_mirage,rate,0.25,3,easy
outcome_breakdown_by_difficulty,investment,rescue,rate,0.08333333333333333,1,easy
outcome_breakdown_by_difficulty,investment,instability,rate,0.16666666666666666,2,easy
outcome_breakdown_by_difficulty,investment,stable_correct,rate,0.5,6,easy
outcome_breakdown_by_difficulty,investment,stable_wrong,rate,0.0,0,easy
outcome_breakdown_by_difficulty,investment,unresolved,rate,0.0,0,easy
full_context_accuracy_by_difficulty,investment,,rate,0.0,12,extreme
outcome_breakdown_by_difficulty,investment,true_mirage,rate,0.0,0,extreme
outcome_breakdown_by_difficulty,investment,rescue,rate,0.25,3,extreme
outcome_breakdown_by_difficulty,investment,instability,rate,0.5833333333333334,7,extreme
outcome_breakdown_by_difficulty,investment,stable_correct,rate,0.0,0,extreme
outcome_breakdown_by_difficulty,investment,stable_wrong,rate,0.16666666666666666,2,extreme
outcome_breakdown_by_difficulty,investment,unresolved,rate,0.0,0,extreme
full_context_accuracy_by_difficulty,investment,,rate,0.0,12,hard
outcome_breakdown_by_difficulty,investment,true_mirage,rate,0.0,0,hard
outcome_breakdown_by_difficulty,investment,rescue,rate,0.4166666666666667,5,hard
outcome_breakdown_by_difficulty,investment,instability,rate,0.4166666666666667,5,hard
outcome_breakdown_by_difficulty,investment,stable_correct,rate,0.0,0,hard
outcome_breakdown_by_difficulty,investment,stable_wrong,rate,0.16666666666666666,2,hard
outcome_breakdown_by_difficulty,investment,unresolved,rate,0.0,0,hard
full_context_accuracy_by_difficulty,investment,,rate,0.5,12,medium
outcome_breakdown_by_difficulty,investment,true_mirage,rate,0.08333333333333333,1,medium
outcome_breakdown_by_difficulty,investment,rescue,rate,0.25,3,medium
outcome_breakdown_by_difficulty,investment,instability,rate,0.08333333333333333,1,medium
outcome_breakdown_by_difficulty,investment,stable_correct,rate,0.4166666666666667,5,medium
outcome_breakdown_by_difficulty,investment,stable_wrong,rate,0.16666666666666666,2,medium
outcome_breakdown_by_difficulty,investment,unresolved,rate,0.0,0,medium
